state_code,mun_code,mun_name,,mapa,conapo,,,ent,mun,Clave,clavem,Municipio,poblaciontotal,poblacionanalfabeta,poblacion,Ocupantesenviviendassindrenaje,OcupanteenviviendassinenergÌaelÈctrica,Ocupantesenviviendassinaguaentubada,Viviendasconalg˙nniveldehacinamiento,Ocupantesnviviendasconpisodetierra,Poblacionenlocalidadesconmenosde5000habitantes,Poblacionocupadaconingresodehasta2salariosminimos,indicedemarginacion,Gradodemarginacion,indicedemarginacionescala,Lugarqueocupaenelcontextonacional,,
4,3,Carmen,,43,43,VERDADERO,,4,3,04,4003, Carmen                                           , 221 094 ,5.48,18.36,1.67,1.54,18.55,43.51,4.62,17.25,24.81,-1.1853,Bajo,14.2792, 2 159,,
4,4,Champot√≥n,,44,44,VERDADERO,,4,4,04,4004, ChampotÛn                                        , 83 021 ,12.21,31.31,7.78,2.42,10.76,51.71,4.10,52.31,56.19,-0.2854,Medio,24.4474, 1 443,,
4,5,Hecelchak√°n,,45,45,VERDADERO,,4,5,04,4005, Hecelchak·n                                      , 28 306 ,11.74,26.04,17.93,2.32,9.55,54.19,2.26,32.95,61.89,-0.2905,Medio,24.3899, 1 451,,
4,6,Hopelch√©n,,46,46,VERDADERO,,4,6,04,4006, HopelchÈn                                        , 37 777 ,11.94,27.06,15.22,4.48,5.00,60.33,4.17,80.69,77.27,0.1559,Medio,29.4342, 1 062,,
4,7,Palizada,,47,47,VERDADERO,,4,7,04,4007, Palizada                                         , 8 352 ,11.46,30.67,4.70,5.23,32.81,51.47,7.33,100.00,61.29,0.1528,Medio,29.3995, 1 065,,
4,8,Tenabo,,48,48,VERDADERO,,4,8,04,4008, Tenabo                                           , 9 736 ,13.37,29.29,29.96,2.85,6.01,56.08,1.87,22.52,67.11,-0.0674,Medio,26.9110, 1 257,,
4,9,Esc√°rcega,,49,49,VERDADERO,,4,9,04,4009, Esc·rcega                                        , 54 184 ,12.02,31.25,7.79,3.95,2.67,56.42,7.32,45.60,66.38,-0.1449,Medio,26.0349, 1 319,,
4,10,Calakmul,,410,410,VERDADERO,,4,10,04,4010, Calakmul                                         , 26 882 ,17.87,36.56,7.98,6.44,31.40,64.49,13.48,100.00,79.66,0.8391,Alto,37.1545,  506,,
4,11,Candelaria,,411,411,VERDADERO,,4,11,04,4011, Candelaria                                       , 41 194 ,15.78,36.60,13.15,13.93,15.06,54.42,16.10,76.18,75.37,0.6568,Alto,35.0946,  636,,
5,1,Abasolo,,51,51,VERDADERO,,5,1,05,5001, Abasolo                                          , 1 070 ,3.92,19.22,0.56,0.28,2.52,18.21,0.00,100.00,56.13,-1.0956,Bajo,15.2928, 2 095,,
5,2,Acu√±a,,52,52,VERDADERO,,5,2,05,5002, AcuÒa                                            , 136 755 ,2.70,14.24,0.48,0.61,1.00,39.57,1.48,1.84,48.95,-1.3788,Muy bajo,12.0920, 2 276,,
5,3,Allende,,53,53,VERDADERO,,5,3,05,5003, Allende                                          , 22 675 ,2.77,14.01,1.04,0.27,0.78,29.72,0.78,8.74,33.54,-1.6381,Muy bajo,9.1625, 2 360,,
5,4,Arteaga,,54,54,VERDADERO,,5,4,05,5004, Arteaga                                          , 22 544 ,6.37,25.72,3.87,1.66,10.16,40.46,3.26,62.54,49.94,-0.7198,Bajo,19.5393, 1 810,,
5,5,Candela,,55,55,VERDADERO,,5,5,05,5005, Candela                                          , 1 808 ,8.73,30.59,1.00,0.95,1.17,36.02,1.23,100.00,49.26,-0.6455,Medio,20.3782, 1 736,,
5,6,Casta√±os,,56,56,VERDADERO,,5,6,05,5006, CastaÒos                                         , 25 892 ,2.79,13.43,1.58,0.80,4.96,38.50,0.62,8.66,37.49,-1.4526,Muy bajo,11.2585, 2 301,,
5,7,Cuatro Ci√©negas,,57,57,VERDADERO,,5,7,05,5007, Cuatro CiÈnegas                                  , 13 013 ,5.39,21.03,4.96,4.13,8.33,39.41,3.01,20.78,53.60,-0.9116,Bajo,17.3713, 1 962,,
5,8,Escobedo,,58,58,VERDADERO,,5,8,05,5008, Escobedo                                         , 2 901 ,4.28,23.99,1.42,1.14,12.71,33.37,0.76,100.00,46.32,-0.8102,Bajo,18.5180, 1 882,,
5,9,Francisco I. Madero,,59,59,VERDADERO,,5,9,05,5009, Francisco I. Madero                              , 55 676 ,4.70,19.92,2.81,0.69,0.45,36.06,1.57,52.17,52.57,-1.0346,Bajo,15.9815, 2 057,,
5,10,Frontera,,510,510,VERDADERO,,5,10,05,5010, Frontera                                         , 75 215 ,2.32,10.71,0.61,0.55,1.01,38.87,0.83,7.65,27.58,-1.6390,Muy bajo,9.1528, 2 362,,
5,11,General Cepeda,,511,511,VERDADERO,,5,11,05,5011, General Cepeda                                   , 11 682 ,8.06,28.54,7.95,1.85,3.03,38.69,1.37,100.00,61.20,-0.4320,Medio,22.7909, 1 570,,
5,12,Guerrero,,512,512,VERDADERO,,5,12,05,5012, Guerrero                                         , 2 091 ,7.71,29.12,2.88,2.10,6.21,29.00,1.89,100.00,38.72,-0.7905,Bajo,18.7404, 1 868,,
5,13,Hidalgo,,513,513,VERDADERO,,5,13,05,5013, Hidalgo                                          , 1 852 ,6.39,23.37,5.21,1.46,0.97,38.23,3.10,100.00,29.34,-0.8871,Bajo,17.6481, 1 945,,
5,14,Jim√©nez,,514,514,VERDADERO,,5,14,05,5014, JimÈnez                                          , 9 935 ,4.51,29.22,6.63,3.62,25.81,32.99,2.46,100.00,71.87,-0.2634,Medio,24.6958, 1 427,,
5,15,Ju√°rez,,515,515,VERDADERO,,5,15,05,5015, Ju·rez                                           , 1 599 ,2.62,23.34,1.45,2.33,3.71,34.16,0.76,100.00,48.53,-0.8615,Bajo,17.9373, 1 923,,
5,16,Lamadrid,,516,516,VERDADERO,,5,16,05,5016, Lamadrid                                         , 1 835 ,4.26,19.68,1.04,0.27,0.38,27.72,0.22,100.00,40.04,-1.1245,Bajo,14.9664, 2 115,,
5,17,Matamoros,,517,517,VERDADERO,,5,17,05,5017, Matamoros                                        , 107 160 ,4.67,20.03,2.97,0.45,0.59,38.91,2.33,42.25,34.24,-1.2077,Bajo,14.0257, 2 174,,
5,18,Monclova,,518,518,VERDADERO,,5,18,05,5018, Monclova                                         , 216 206 ,1.66,8.61,0.36,0.47,0.67,28.71,0.86,0.43,25.19,-1.8714,Muy bajo,6.5267, 2 429,,
5,19,Morelos,,519,519,VERDADERO,,5,19,05,5019, Morelos                                          , 8 207 ,2.78,15.58,1.85,0.21,1.63,34.13,0.52,16.67,32.76,-1.5234,Muy bajo,10.4592, 2 322,,
5,20,M√∫zquiz,,520,520,VERDADERO,,5,20,05,5020, M˙zquiz                                          , 66 834 ,3.46,18.08,1.48,1.07,1.42,35.42,1.46,10.42,39.59,-1.3915,Muy bajo,11.9495, 2 281,,
5,21,Nadadores,,521,521,VERDADERO,,5,21,05,5021, Nadadores                                        , 6 335 ,3.81,15.60,2.04,0.58,2.44,34.31,1.01,100.00,48.92,-0.9833,Bajo,16.5620, 2 023,,
5,22,Nava,,522,522,VERDADERO,,5,22,05,5022, Nava                                             , 27 928 ,3.09,15.60,1.44,1.10,1.73,36.58,1.82,20.54,30.30,-1.4629,Muy bajo,11.1420, 2 307,,
5,23,Ocampo,,523,523,VERDADERO,,5,23,05,5023, Ocampo                                           , 10 991 ,5.93,24.37,4.31,2.57,15.60,35.56,3.23,100.00,46.20,-0.6329,Medio,20.5205, 1 730,,
5,24,Parras,,524,524,VERDADERO,,5,24,05,5024, Parras                                           , 45 401 ,5.20,17.62,6.19,1.11,5.96,34.86,2.77,25.51,59.41,-1.0169,Bajo,16.1815, 2 046,,
5,25,Piedras Negras,,525,525,VERDADERO,,5,25,05,5025, Piedras Negras                                   , 152 806 ,2.15,11.06,0.47,0.33,0.29,34.01,1.32,1.72,29.33,-1.7111,Muy bajo,8.3382, 2 392,,
5,26,Progreso,,526,526,VERDADERO,,5,26,05,5026, Progreso                                         , 3 473 ,4.62,26.65,1.04,0.75,2.44,31.24,0.90,100.00,34.43,-0.9893,Bajo,16.4941, 2 027,,
5,27,Ramos Arizpe,,527,527,VERDADERO,,5,27,05,5027, Ramos Arizpe                                     , 75 461 ,3.21,11.82,0.66,0.83,3.89,29.10,0.91,11.80,25.38,-1.7052,Muy bajo,8.4045, 2 390,,
5,28,Sabinas,,528,528,VERDADERO,,5,28,05,5028, Sabinas                                          , 60 847 ,2.36,11.90,0.82,0.42,0.40,29.56,0.83,9.77,26.80,-1.7420,Muy bajo,7.9886, 2 402,,
5,29,Sacramento,,529,529,VERDADERO,,5,29,05,5029, Sacramento                                       , 2 314 ,5.23,17.42,0.78,0.95,0.56,27.68,1.08,100.00,40.70,-1.1096,Bajo,15.1339, 2 102,,
5,30,Saltillo,,530,530,VERDADERO,,5,30,05,5030, Saltillo                                         , 725 123 ,2.14,9.10,0.42,0.37,0.89,27.18,1.06,2.13,22.17,-1.8934,Muy bajo,6.2779, 2 436,,
5,31,San Buenaventura,,531,531,VERDADERO,,5,31,05,5031, San Buenaventura                                 , 22 149 ,2.37,11.52,0.80,0.31,0.85,28.91,0.58,7.54,35.20,-1.6861,Muy bajo,8.6199, 2 382,,
5,32,San Juan de Sabinas,,532,532,VERDADERO,,5,32,05,5032, San Juan de Sabinas                              , 41 649 ,2.06,12.10,1.21,1.58,1.29,28.37,1.19,8.38,29.65,-1.6996,Muy bajo,8.4677, 2 388,,
5,33,San Pedro,,533,533,VERDADERO,,5,33,05,5033, San Pedro                                        , 102 650 ,5.80,21.96,3.18,1.01,4.18,38.17,1.80,44.86,57.04,-0.9018,Bajo,17.4820, 1 952,,
5,34,Sierra Mojada,,534,534,VERDADERO,,5,34,05,5034, Sierra Mojada                                    , 6 375 ,3.46,15.04,2.55,7.05,5.08,38.20,1.92,100.00,22.05,-1.0414,Bajo,15.9053, 2 065,,
5,35,Torre√≥n,,535,535,VERDADERO,,5,35,05,5035, TorreÛn                                          , 639 629 ,1.78,9.58,0.55,0.13,0.42,24.81,1.86,4.81,25.14,-1.8806,Muy bajo,6.4228, 2 433,,
5,36,Viesca,,536,536,VERDADERO,,5,36,05,5036, Viesca                                           , 21 319 ,6.94,28.43,7.00,1.28,2.75,40.39,2.01,100.00,53.45,-0.5252,Medio,21.7375, 1 631,,
5,37,Villa Uni√≥n,,537,537,VERDADERO,,5,37,05,5037, Villa UniÛn                                      , 6 289 ,4.00,18.72,1.33,2.18,1.15,34.86,0.45,14.93,46.58,-1.2858,Muy bajo,13.1435, 2 221,,
5,38,Zaragoza,,538,538,VERDADERO,,5,38,05,5038, Zaragoza                                         , 12 702 ,3.80,23.21,1.73,1.68,1.49,31.94,1.11,17.64,48.27,-1.2272,Bajo,13.8059, 2 183,,
6,1,Armer√≠a,,61,61,VERDADERO,,6,1,06,6001, ArmerÌa                                          , 28 695 ,10.54,33.57,1.97,1.02,1.97,40.29,8.14,22.90,52.37,-0.6890,Medio,19.8869, 1 782,,
6,2,Colima,,62,62,VERDADERO,,6,2,06,6002, Colima                                           , 146 904 ,3.31,13.72,0.37,0.36,0.52,24.43,3.30,6.48,31.97,-1.6983,Muy bajo,8.4823, 2 387,,
6,3,Comala,,63,63,VERDADERO,,6,3,06,6003, Comala                                           , 20 888 ,5.34,23.16,1.97,2.02,0.97,38.73,6.46,54.80,43.75,-0.9306,Bajo,17.1575, 1 980,,
6,4,Coquimatl√°n,,64,64,VERDADERO,,6,4,06,6004, Coquimatl·n                                      , 19 385 ,8.20,27.18,0.73,0.84,1.29,38.12,5.63,31.09,44.45,-0.9558,Bajo,16.8726, 1 997,,
6,5,Cuauht√©moc,,65,65,VERDADERO,,6,5,06,6005, CuauhtÈmoc                                       , 27 107 ,5.31,20.94,0.38,0.49,1.07,29.87,1.96,36.50,34.82,-1.3418,Muy bajo,12.5101, 2 251,,
6,6,Ixtlahuac√°n,,66,66,VERDADERO,,6,6,06,6006, Ixtlahuac·n                                      , 5 300 ,11.11,34.84,4.08,2.56,2.90,33.88,6.32,100.00,61.24,-0.3028,Medio,24.2515, 1 460,,
6,7,Manzanillo,,67,67,VERDADERO,,6,7,06,6007, Manzanillo                                       , 161 420 ,4.31,15.58,0.71,0.45,1.43,33.43,4.25,13.09,24.95,-1.5533,Muy bajo,10.1213, 2 334,,
6,8,Minatitl√°n,,68,68,VERDADERO,,6,8,06,6008, Minatitl·n                                       , 8 174 ,7.25,25.13,2.33,1.41,2.68,33.72,5.44,100.00,37.32,-0.8135,Bajo,18.4797, 1 887,,
6,9,Tecom√°n,,69,69,VERDADERO,,6,9,06,6009, Tecom·n                                          , 112 726 ,9.98,31.15,0.91,0.90,2.24,41.96,8.96,12.20,41.02,-0.8704,Bajo,17.8373, 1 931,,
6,10,Villa de √Ålvarez,,610,610,VERDADERO,,6,10,06,6010, Villa de ¡lvarez                                 , 119 956 ,1.98,9.19,0.08,0.25,0.26,23.65,2.10,1.96,23.25,-1.9280,Muy bajo,5.8874, 2 441,,
7,1,Acacoyagua,,71,71,VERDADERO,,7,1,07,7001, Acacoyagua                                       , 16 814 ,13.95,41.11,5.79,5.03,15.35,59.29,9.69,55.31,81.17,0.3811,Medio,31.9790,  860,,
7,2,Acala,,72,72,VERDADERO,,7,2,07,7002, Acala                                            , 28 947 ,21.01,41.88,5.75,2.45,4.92,60.22,14.91,52.02,70.23,0.3648,Medio,31.7941,  879,,
7,3,Acapetahua,,73,73,VERDADERO,,7,3,07,7003, Acapetahua                                       , 27 580 ,18.10,42.40,9.00,2.39,54.64,50.01,22.31,77.54,80.34,0.8691,Alto,37.4924,  487,,
7,4,Altamirano,,74,74,VERDADERO,,7,4,07,7004, Altamirano                                       , 29 865 ,31.56,51.68,4.73,8.49,24.00,60.20,9.34,69.19,84.45,1.1079,Muy alto,40.1910,  341,,
7,5,Amat√°n,,75,75,VERDADERO,,7,5,07,7005, Amat·n                                           , 21 275 ,27.11,53.67,2.27,14.08,30.07,70.33,14.79,100.00,90.29,1.5584,Muy alto,45.2820,  163,,
7,6,Amatenango de la Frontera,,76,76,VERDADERO,,7,6,07,7006, Amatenango de la Frontera                        , 29 547 ,21.25,45.24,3.54,3.35,11.96,57.82,20.48,100.00,86.41,0.8562,Alto,37.3476,  495,,
7,7,Amatenango del Valle,,77,77,VERDADERO,,7,7,07,7007, Amatenango del Valle                             , 8 728 ,32.97,60.57,20.11,5.27,31.83,65.78,37.10,100.00,93.27,2.0570,Muy alto,50.9160,  52,,
7,8,Angel Albino Corzo,,78,78,VERDADERO,,7,8,07,7008, Angel Albino Corzo                               , 26 628 ,20.55,45.26,3.54,3.74,7.35,66.89,15.06,60.84,82.53,0.6673,Alto,35.2130,  625,,
7,9,Arriaga,,79,79,VERDADERO,,7,9,07,7009, Arriaga                                          , 40 042 ,12.32,32.46,4.51,1.65,28.68,44.34,4.50,38.95,75.23,-0.1477,Medio,26.0034, 1 321,,
7,10,Bejucal de Ocampo,,710,710,VERDADERO,,7,10,07,7010, Bejucal de Ocampo                                , 7 623 ,13.18,47.37,0.92,2.33,54.87,71.17,9.95,100.00,94.36,1.0975,Muy alto,40.0736,  345,,
7,11,Bella Vista,,711,711,VERDADERO,,7,11,07,7011, Bella Vista                                      , 19 281 ,12.23,41.75,3.69,3.15,31.06,56.81,10.58,100.00,90.75,0.6620,Alto,35.1529,  632,,
7,12,Berrioz√°bal,,712,712,VERDADERO,,7,12,07,7012, Berrioz·bal                                      , 43 179 ,17.29,40.69,7.82,7.93,35.59,57.66,17.89,34.86,61.84,0.4800,Alto,33.0958,  774,,
7,13,Bochil,,713,713,VERDADERO,,7,13,07,7013, Bochil                                           , 30 642 ,20.26,36.67,1.78,1.54,11.35,63.31,26.35,59.52,77.37,0.5395,Alto,33.7686,  725,,
7,14,El Bosque,,714,714,VERDADERO,,7,14,07,7014, El Bosque                                        , 18 559 ,29.67,49.09,2.53,2.51,6.55,65.62,19.05,72.22,93.14,1.0482,Muy alto,39.5172,  374,,
7,15,Cacahoat√°n,,715,715,VERDADERO,,7,15,07,7015, Cacahoat·n                                       , 43 811 ,14.43,32.94,2.02,2.03,7.58,53.19,11.37,62.17,73.26,0.0062,Medio,27.7425, 1 190,,
7,16,Catazaj√°,,716,716,VERDADERO,,7,16,07,7016, Catazaj·                                         , 17 140 ,17.21,40.36,7.08,3.48,8.84,51.74,7.26,100.00,74.56,0.3623,Medio,31.7666,  882,,
7,17,Cintalapa,,717,717,VERDADERO,,7,17,07,7017, Cintalapa                                        , 78 114 ,14.04,36.53,7.60,3.32,13.50,51.78,14.89,45.63,72.25,0.1305,Medio,29.1470, 1 080,,
7,18,Coapilla,,718,718,VERDADERO,,7,18,07,7018, Coapilla                                         , 8 444 ,20.50,46.64,8.58,3.68,1.25,55.05,10.95,100.00,84.49,0.6728,Alto,35.2749,  620,,
7,19,Comit√°n de Dom√≠nguez,,719,719,VERDADERO,,7,19,07,7019, Comit·n de DomÌnguez                             , 141 013 ,13.54,30.90,1.64,1.22,12.45,42.61,10.99,30.83,62.47,-0.3986,Medio,23.1683, 1 542,,
7,20,La Concordia,,720,720,VERDADERO,,7,20,07,7020, La Concordia                                     , 44 082 ,23.88,47.67,8.70,5.66,25.67,63.86,12.07,82.67,86.09,1.0425,Muy alto,39.4519,  379,,
7,21,Copainal√°,,721,721,VERDADERO,,7,21,07,7021, Copainal·                                        , 21 050 ,15.03,40.55,7.26,3.53,7.00,58.08,10.58,68.88,73.63,0.2983,Medio,31.0432,  931,,
7,22,Chalchihuit√°n,,722,722,VERDADERO,,7,22,07,7022, Chalchihuit·n                                    , 14 027 ,33.82,49.40,12.66,18.45,69.04,76.75,55.80,100.00,93.41,2.7377,Muy alto,58.6080,  16,,
7,23,Chamula,,723,723,VERDADERO,,7,23,07,7023, Chamula                                          , 76 941 ,42.50,56.77,9.89,3.20,28.12,65.30,21.65,100.00,93.73,1.8149,Muy alto,48.1806,  94,,
7,24,Chanal,,724,724,VERDADERO,,7,24,07,7024, Chanal                                           , 10 817 ,34.35,50.27,7.08,2.62,45.55,78.39,17.13,35.21,96.63,1.5105,Muy alto,44.7407,  180,,
7,25,Chapultenango,,725,725,VERDADERO,,7,25,07,7025, Chapultenango                                    , 7 332 ,19.67,41.24,2.35,7.52,16.29,47.27,37.01,100.00,84.53,0.9249,Alto,38.1230,  451,,
7,26,Chenalh√≥,,726,726,VERDADERO,,7,26,07,7026, ChenalhÛ                                         , 36 111 ,34.13,49.63,10.44,4.19,29.81,74.85,31.38,100.00,91.44,1.8006,Muy alto,48.0186,  97,,
7,27,Chiapa de Corzo,,727,727,VERDADERO,,7,27,07,7027, Chiapa de Corzo                                  , 87 603 ,14.34,30.81,2.90,1.16,13.88,53.43,12.74,48.54,60.64,-0.1478,Medio,26.0028, 1 322,,
7,28,Chiapilla,,728,728,VERDADERO,,7,28,07,7028, Chiapilla                                        , 5 405 ,26.41,52.99,2.02,1.70,0.69,62.52,4.47,100.00,79.27,0.7334,Alto,35.9600,  571,,
7,29,Chicoas√©n,,729,729,VERDADERO,,7,29,07,7029, ChicoasÈn                                        , 5 018 ,13.44,33.76,4.11,1.12,4.88,59.97,5.07,100.00,62.57,0.0405,Medio,28.1296, 1 157,,
7,30,Chicomuselo,,730,730,VERDADERO,,7,30,07,7030, Chicomuselo                                      , 31 515 ,18.19,51.49,5.47,4.23,29.56,60.13,17.34,81.16,87.83,0.9800,Muy alto,38.7463,  415,,
7,31,Chil√≥n,,731,731,VERDADERO,,7,31,07,7031, ChilÛn                                           , 111 554 ,33.31,53.58,23.18,14.44,18.61,77.41,30.58,88.86,91.68,2.0887,Muy alto,51.2735,  47,,
7,32,Escuintla,,732,732,VERDADERO,,7,32,07,7032, Escuintla                                        , 30 068 ,14.96,40.15,6.84,4.51,20.18,58.08,20.46,68.17,75.33,0.5387,Alto,33.7600,  726,,
7,33,Francisco Le√≥n,,733,733,VERDADERO,,7,33,07,7033, Francisco LeÛn                                   , 7 000 ,23.76,54.47,8.27,6.10,13.84,67.05,7.00,100.00,92.56,1.1715,Muy alto,40.9097,  314,,
7,34,Frontera Comalapa,,734,734,VERDADERO,,7,34,07,7034, Frontera Comalapa                                , 67 012 ,13.79,39.49,2.48,1.81,12.25,50.67,14.15,72.09,78.73,0.2219,Medio,30.1794,  992,,
7,35,Frontera Hidalgo,,735,735,VERDADERO,,7,35,07,7035, Frontera Hidalgo                                 , 12 665 ,17.07,34.58,4.60,2.51,35.76,49.44,13.79,100.00,71.99,0.4473,Alto,32.7269,  798,,
7,36,La Grandeza,,736,736,VERDADERO,,7,36,07,7036, La Grandeza                                      , 7 272 ,11.42,35.01,0.40,3.47,45.48,71.08,10.34,100.00,86.56,0.7560,Alto,36.2151,  552,,
7,37,Huehuet√°n,,737,737,VERDADERO,,7,37,07,7037, Huehuet·n                                        , 33 444 ,16.83,35.71,9.39,3.04,65.31,52.14,26.57,57.93,69.04,0.7292,Alto,35.9118,  575,,
7,38,Huixt√°n,,738,738,VERDADERO,,7,38,07,7038, Huixt·n                                          , 21 507 ,27.27,41.64,2.76,4.36,31.26,66.82,42.01,100.00,92.50,1.5177,Muy alto,44.8223,  179,,
7,39,Huitiup√°n,,739,739,VERDADERO,,7,39,07,7039, Huitiup·n                                        , 22 536 ,27.80,50.81,1.85,7.69,21.70,65.08,17.54,100.00,91.35,1.3131,Muy alto,42.5097,  254,,
7,40,Huixtla,,740,740,VERDADERO,,7,40,07,7040, Huixtla                                          , 51 359 ,11.63,30.33,4.66,2.03,35.74,51.21,14.51,37.63,68.01,0.0050,Medio,27.7288, 1 193,,
7,41,La Independencia,,741,741,VERDADERO,,7,41,07,7041, La Independencia                                 , 41 266 ,16.56,46.07,0.86,2.45,9.09,58.56,23.72,74.41,90.59,0.6939,Alto,35.5129,  600,,
7,42,Ixhuat√°n,,742,742,VERDADERO,,7,42,07,7042, Ixhuat·n                                         , 10 239 ,22.22,44.75,1.66,1.55,2.47,62.24,17.22,100.00,80.65,0.7028,Alto,35.6140,  594,,
7,43,Ixtacomit√°n,,743,743,VERDADERO,,7,43,07,7043, Ixtacomit·n                                      , 10 176 ,14.29,34.46,3.07,8.48,20.18,54.58,9.05,100.00,74.10,0.4097,Alto,32.3017,  836,,
